id_cliente,nombre_cliente,segmento,ciudad,region,departamento,genero,rango_edad,fecha_alta,estado_cliente
C00001,Cliente 00001,Educacion,Manizales,Eje Cafetero,Caldas,M,18-25,2025-11-13,Activo
C00002,Cliente 00002,Pyme,Santa Marta,Caribe,Magdalena,M,18-25,2025-12-05,Activo
C00003,Cliente 00003,Educacion,Santa Marta,Caribe,Magdalena,No informado,18-25,2020-02-22,Activo
C00004,Cliente 00004,Educacion,Barranquilla,Caribe,Atlantico,M,26-35,2019-06-27,Activo
C00005,Cliente 00005,Pyme,Medellin,Antioquia,Antioquia,F,46-55,2023-12-20,Activo
C00006,Cliente 00006,Hogar,Bogota,Centro,Cundinamarca,No informado,36-45,2024-12-12,Activo
C00007,Cliente 00007,Pyme,Pereira,Eje Cafetero,Risaralda,F,56+,2024-02-11,Activo
C00008,Cliente 00008,Pyme,Pasto,Sur,Narino,F,46-55,2022-07-24,Activo
C00009,Cliente 00009,Gobierno,Bucaramanga,Oriente,Santander,F,46-55,2024-02-29,Activo
C00010,Cliente 00010,Pyme,Barranquilla,Caribe,Atlantico,F,46-55,2025-07-06,Activo
C00011,Cliente 00011,Educacion,Bogota,Centro,Cundinamarca,No informado,36-45,2024-01-23,Activo
C00012,Cliente 00012,Hogar,Santa Marta,Caribe,Magdalena,No informado,36-45,2021-12-17,Activo
C00013,Cliente 00013,Corporativo,Bogota,Centro,Cundinamarca,No informado,18-25,2020-01-24,Activo
C00014,Cliente 00014,Hogar,Santa Marta,Caribe,Magdalena,No informado,36-45,2024-07-26,Activo
C00015,Cliente 00015,Corporativo,Bogota,Centro,Cundinamarca,M,56+,2019-04-10,Activo
C00016,Cliente 00016,Pyme,Santa Marta,Caribe,Magdalena,No informado,56+,2019-12-06,Activo
C00017,Cliente 00017,Corporativo,Pasto,Sur,Narino,No informado,56+,2024-08-26,Activo
C00018,Cliente 00018,Hogar,Bogota,Centro,Cundinamarca,No informado,26-35,2021-12-30,Activo
C00019,Cliente 00019,Gobierno,Villavicencio,Llanos,Meta,M,56+,2022-10-03,Activo
C00020,Cliente 00020,Pyme,Cartagena,Caribe,Bolivar,M,36-45,2020-04-26,Activo
C00021,Cliente 00021,Hogar,Manizales,Eje Cafetero,Caldas,No informado,56+,2019-09-17,Activo
C00022,Cliente 00022,Corporativo,Villavicencio,Llanos,Meta,M,46-55,2020-11-30,Activo
C00023,Cliente 00023,Hogar,Barranquilla,Caribe,Atlantico,No informado,26-35,2021-06-22,Activo
C00024,Cliente 00024,Gobierno,Villavicencio,Llanos,Meta,No informado,56+,2024-05-30,Activo
C00025,Cliente 00025,Pyme,Pasto,Sur,Narino,No informado,56+,2021-07-08,Activo
C00026,Cliente 00026,Gobierno,Villavicencio,Llanos,Meta,M,46-55,2025-07-29,Activo
C00027,Cliente 00027,Corporativo,Ibague,Centro,Tolima,No informado,26-35,2019-02-04,Activo
C00028,Cliente 00028,Corporativo,Pasto,Sur,Narino,F,26-35,2026-02-04,Activo
C00029,Cliente 00029,Gobierno,Manizales,Eje Cafetero,Caldas,No informado,18-25,2023-10-18,Activo
C00030,Cliente 00030,Gobierno,Manizales,Eje Cafetero,Caldas,No informado,36-45,2023-09-04,Inactivo
C00031,Cliente 00031,Hogar,Bucaramanga,Oriente,Santander,No informado,26-35,2023-09-29,Activo
C00032,Cliente 00032,Gobierno,Bogota,Centro,Cundinamarca,M,26-35,2020-12-08,Activo
C00033,Cliente 00033,Gobierno,Cartagena,Caribe,Bolivar,M,18-25,2022-08-01,Activo
C00034,Cliente 00034,Gobierno,Ibague,Centro,Tolima,No informado,36-45,2022-10-28,Activo
C00035,Cliente 00035,Gobierno,Pasto,Sur,Narino,M,36-45,2023-01-22,Activo
C00036,Cliente 00036,Hogar,Ibague,Centro,Tolima,M,18-25,2021-11-04,Activo
C00037,Cliente 00037,Corporativo,Villavicencio,Llanos,Meta,F,26-35,2021-06-18,Activo
C00038,Cliente 00038,Hogar,Barranquilla,Caribe,Atlantico,M,36-45,2022-08-13,Activo
C00039,Cliente 00039,Hogar,Santa Marta,Caribe,Magdalena,F,18-25,2020-09-09,Activo
C00040,Cliente 00040,Gobierno,Barranquilla,Caribe,Atlantico,F,46-55,2019-12-09,Activo
C00041,Cliente 00041,Hogar,Pereira,Eje Cafetero,Risaralda,F,46-55,2020-06-05,Inactivo
C00042,Cliente 00042,Corporativo,Cali,Occidente,Valle del Cauca,No informado,18-25,2022-10-31,Activo
C00043,Cliente 00043,Hogar,Pereira,Eje Cafetero,Risaralda,No informado,56+,2021-06-27,Activo
C00044,Cliente 00044,Hogar,Bogota,Centro,Cundinamarca,No informado,26-35,2019-01-27,Inactivo
C00045,Cliente 00045,Educacion,Cali,Occidente,Valle del Cauca,F,46-55,2019-06-06,Activo
C00046,Cliente 00046,Corporativo,Pasto,Sur,Narino,No informado,18-25,2023-11-18,Activo
C00047,Cliente 00047,Educacion,Cartagena,Caribe,Bolivar,F,18-25,2024-03-29,Activo
C00048,Cliente 00048,Gobierno,Ibague,Centro,Tolima,M,26-35,2020-02-29,Inactivo
C00049,Cliente 00049,Hogar,Ibague,Centro,Tolima,M,36-45,2024-06-14,Activo
C00050,Cliente 00050,Corporativo,Ibague,Centro,Tolima,F,18-25,2020-05-15,Activo
C00051,Cliente 00051,Gobierno,Manizales,Eje Cafetero,Caldas,F,36-45,2025-10-09,Activo
C00052,Cliente 00052,Corporativo,Ibague,Centro,Tolima,F,56+,2020-01-30,Activo
C00053,Cliente 00053,Pyme,Bogota,Centro,Cundinamarca,M,36-45,2024-04-24,Activo
C00054,Cliente 00054,Gobierno,Pasto,Sur,Narino,M,56+,2023-09-01,Activo
C00055,Cliente 00055,Corporativo,Santa Marta,Caribe,Magdalena,M,56+,2023-06-10,Activo
C00056,Cliente 00056,Hogar,Cali,Occidente,Valle del Cauca,F,26-35,2024-06-11,Activo
C00057,Cliente 00057,Gobierno,Villavicencio,Llanos,Meta,M,36-45,2020-12-10,Activo
C00058,Cliente 00058,Gobierno,Bogota,Centro,Cundinamarca,F,46-55,2022-10-06,Activo
C00059,Cliente 00059,Gobierno,Barranquilla,Caribe,Atlantico,F,36-45,2024-08-17,Activo
C00060,Cliente 00060,Pyme,Pasto,Sur,Narino,F,26-35,2020-01-27,Activo
C00061,Cliente 00061,Educacion,Bucaramanga,Oriente,Santander,F,36-45,2021-06-25,Activo
C00062,Cliente 00062,Corporativo,Manizales,Eje Cafetero,Caldas,F,46-55,2023-07-22,Activo
C00063,Cliente 00063,Educacion,Manizales,Eje Cafetero,Caldas,M,36-45,2020-05-18,Activo
C00064,Cliente 00064,Corporativo,Ibague,Centro,Tolima,F,26-35,2019-08-17,Activo
C00065,Cliente 00065,Educacion,Villavicencio,Llanos,Meta,M,18-25,2022-10-21,Activo
C00066,Cliente 00066,Gobierno,Pasto,Sur,Narino,No informado,18-25,2019-11-30,Activo
C00067,Cliente 00067,Corporativo,Pasto,Sur,Narino,No informado,18-25,2019-07-10,Activo
C00068,Cliente 00068,Pyme,Bucaramanga,Oriente,Santander,M,26-35,2021-11-02,Activo
C00069,Cliente 00069,Pyme,Villavicencio,Llanos,Meta,F,56+,2019-01-16,Activo
C00070,Cliente 00070,Hogar,Bogota,Centro,Cundinamarca,M,18-25,2023-10-23,Activo
C00071,Cliente 00071,Hogar,Bogota,Centro,Cundinamarca,M,46-55,2021-06-21,Activo
C00072,Cliente 00072,Educacion,Pereira,Eje Cafetero,Risaralda,No informado,56+,2024-11-24,Activo
C00073,Cliente 00073,Gobierno,Bucaramanga,Oriente,Santander,No informado,26-35,2022-09-13,Activo
C00074,Cliente 00074,Pyme,Bogota,Centro,Cundinamarca,M,18-25,2020-03-07,Activo
C00075,Cliente 00075,Gobierno,Manizales,Eje Cafetero,Caldas,No informado,56+,2019-02-17,Activo
C00076,Cliente 00076,Educacion,Medellin,Antioquia,Antioquia,M,56+,2022-07-14,Activo
C00077,Cliente 00077,Corporativo,Bucaramanga,Oriente,Santander,No informado,46-55,2022-02-01,Activo
C00078,Cliente 00078,Pyme,Cartagena,Caribe,Bolivar,M,36-45,2021-06-16,Activo
C00079,Cliente 00079,Educacion,Medellin,Antioquia,Antioquia,No informado,18-25,2020-03-08,Activo
C00080,Cliente 00080,Pyme,Medellin,Antioquia,Antioquia,F,18-25,2022-12-07,Activo
C00081,Cliente 00081,Pyme,Villavicencio,Llanos,Meta,F,26-35,2023-09-17,Activo
C00082,Cliente 00082,Corporativo,Pereira,Eje Cafetero,Risaralda,F,26-35,2021-01-09,Activo
C00083,Cliente 00083,Educacion,Pereira,Eje Cafetero,Risaralda,No informado,46-55,2021-02-10,Activo
C00084,Cliente 00084,Pyme,Santa Marta,Caribe,Magdalena,No informado,36-45,2025-12-07,Activo
C00085,Cliente 00085,Gobierno,Bucaramanga,Oriente,Santander,M,18-25,2023-12-29,Activo
