anio_mes,id_tienda,categoria,presupuesto_venta,presupuesto_unidades,escenario
2024-01,T001,Alimentos,379410519,958,Base
2024-01,T001,Belleza,239286054,129,Base
2024-01,T001,Deportes,370878730,714,Base
2024-01,T001,Electrohogar,119938091,869,Base
2024-01,T001,Jugueteria,295542694,986,Base
2024-01,T001,Moda,283672363,384,Base
2024-01,T001,Muebles,59739616,956,Base
2024-01,T001,Tecnologia,171308850,887,Base
2024-01,T002,Alimentos,141147088,920,Base
2024-01,T002,Belleza,79514592,1123,Base
2024-01,T002,Deportes,150721247,347,Base
2024-01,T002,Electrohogar,69073200,153,Base
2024-01,T002,Jugueteria,350848970,971,Base
2024-01,T002,Moda,303001502,270,Base
2024-01,T002,Muebles,238158433,452,Base
2024-01,T002,Tecnologia,417308982,286,Base
2024-01,T003,Alimentos,93019410,563,Base
2024-01,T003,Belleza,360548286,1070,Base
2024-01,T003,Deportes,134989535,631,Base
2024-01,T003,Electrohogar,298259649,807,Base
2024-01,T003,Jugueteria,168198579,788,Base
2024-01,T003,Moda,217972456,836,Base
2024-01,T003,Muebles,116511292,1210,Base
2024-01,T003,Tecnologia,238815356,1109,Base
2024-01,T004,Alimentos,295372801,410,Base
2024-01,T004,Belleza,47573451,515,Base
2024-01,T004,Deportes,335886669,801,Base
2024-01,T004,Electrohogar,100123588,348,Base
2024-01,T004,Jugueteria,214857935,1240,Base
2024-01,T004,Moda,331314763,502,Base
2024-01,T004,Muebles,377788525,1050,Base
2024-01,T004,Tecnologia,242277043,292,Base
2024-01,T005,Alimentos,306160763,1290,Base
2024-01,T005,Belleza,156105634,246,Base
2024-01,T005,Deportes,354530923,128,Base
2024-01,T005,Electrohogar,58706487,1027,Base
2024-01,T005,Jugueteria,231725173,1064,Base
2024-01,T005,Moda,234923886,137,Base
2024-01,T005,Muebles,160998976,344,Base
2024-01,T005,Tecnologia,216698124,895,Base
2024-01,T006,Alimentos,415327677,144,Base
2024-01,T006,Belleza,155607933,239,Base
2024-01,T006,Deportes,151782021,638,Base
2024-01,T006,Electrohogar,92943396,573,Base
2024-01,T006,Jugueteria,142292597,256,Base
2024-01,T006,Moda,197547887,194,Base
2024-01,T006,Muebles,109948015,132,Base
2024-01,T006,Tecnologia,66523295,1079,Base
2024-01,T007,Alimentos,157734521,464,Base
2024-01,T007,Belleza,204737677,470,Base
2024-01,T007,Deportes,252245149,215,Base
2024-01,T007,Electrohogar,119950833,800,Base
2024-01,T007,Jugueteria,164330670,192,Base
2024-01,T007,Moda,411289821,1035,Base
2024-01,T007,Muebles,378922871,341,Base
2024-01,T007,Tecnologia,289617742,625,Base
2024-01,T008,Alimentos,201606563,1144,Base
2024-01,T008,Belleza,273966211,1103,Base
2024-01,T008,Deportes,223417882,721,Base
2024-01,T008,Electrohogar,85951686,797,Base
2024-01,T008,Jugueteria,284917429,259,Base
2024-01,T008,Moda,296716216,369,Base
2024-01,T008,Muebles,149435337,361,Base
2024-01,T008,Tecnologia,398682318,434,Base
2024-01,T009,Alimentos,419061190,982,Base
2024-01,T009,Belleza,368711953,796,Base
2024-01,T009,Deportes,159269076,909,Base
2024-01,T009,Electrohogar,176337127,1196,Base
2024-01,T009,Jugueteria,68456365,825,Base
2024-01,T009,Moda,353833396,651,Base
2024-01,T009,Muebles,335702391,651,Base
2024-01,T009,Tecnologia,354345488,405,Base
2024-01,T010,Alimentos,413615915,766,Base
2024-01,T010,Belleza,99295086,1228,Base
2024-01,T010,Deportes,191967181,197,Base
2024-01,T010,Electrohogar,261003672,1020,Base
2024-01,T010,Jugueteria,402232122,692,Base
2024-01,T010,Moda,252969449,666,Base
2024-01,T010,Muebles,65543028,528,Base
2024-01,T010,Tecnologia,156826964,605,Base
2024-01,T011,Alimentos,112612794,1034,Base
2024-01,T011,Belleza,408329535,428,Base
2024-01,T011,Deportes,412274877,1097,Base
2024-01,T011,Electrohogar,410494487,549,Base
2024-01,T011,Jugueteria,221198294,615,Base
2024-01,T011,Moda,134632524,1062,Base
2024-01,T011,Muebles,404590952,655,Base
2024-01,T011,Tecnologia,309520153,641,Base
2024-01,T012,Alimentos,116838934,542,Base
2024-01,T012,Belleza,229189763,1346,Base
2024-01,T012,Deportes,258370614,263,Base
2024-01,T012,Electrohogar,172117921,1370,Base
2024-01,T012,Jugueteria,209742659,977,Base
2024-01,T012,Moda,263578421,987,Base
2024-01,T012,Muebles,110012924,1367,Base
2024-01,T012,Tecnologia,407342135,993,Base
2024-01,T013,Alimentos,343951411,1061,Base
2024-01,T013,Belleza,184682678,1150,Base
2024-01,T013,Deportes,168298497,981,Base
2024-01,T013,Electrohogar,176027275,276,Base
2024-01,T013,Jugueteria,382790294,1383,Base
2024-01,T013,Moda,229957149,406,Base
2024-01,T013,Muebles,408505119,1056,Base
2024-01,T013,Tecnologia,190232906,407,Base
2024-01,T014,Alimentos,222467064,341,Base
2024-01,T014,Belleza,87567498,270,Base
2024-01,T014,Deportes,137339378,1209,Base
2024-01,T014,Electrohogar,322067007,771,Base
2024-01,T014,Jugueteria,235941841,594,Base
2024-01,T014,Moda,339774915,1207,Base
2024-01,T014,Muebles,231404088,273,Base
2024-01,T014,Tecnologia,49097274,1027,Base
2024-01,T015,Alimentos,396706974,1132,Base
2024-01,T015,Belleza,419889554,825,Base
2024-01,T015,Deportes,349301454,393,Base
2024-01,T015,Electrohogar,267151397,1165,Base
2024-01,T015,Jugueteria,366998270,1367,Base
2024-01,T015,Moda,192106268,434,Base
2024-01,T015,Muebles,220566274,594,Base
2024-01,T015,Tecnologia,110907618,578,Base
2024-01,T016,Alimentos,61619961,906,Base
2024-01,T016,Belleza,259803722,591,Base
2024-01,T016,Deportes,77319253,164,Base
2024-01,T016,Electrohogar,56855987,999,Base
2024-01,T016,Jugueteria,294746563,1364,Base
2024-01,T016,Moda,64829509,355,Base
2024-01,T016,Muebles,78881831,687,Base
2024-01,T016,Tecnologia,248055050,1011,Base
2024-01,T017,Alimentos,52021349,981,Base
2024-01,T017,Belleza,98238241,1302,Base
2024-01,T017,Deportes,90933965,652,Base
2024-01,T017,Electrohogar,280530257,914,Base
2024-01,T017,Jugueteria,86855157,402,Base
2024-01,T017,Moda,330547710,1208,Base
2024-01,T017,Muebles,331606495,1238,Base
2024-01,T017,Tecnologia,323353805,804,Base
2024-01,T018,Alimentos,261021847,778,Base
2024-01,T018,Belleza,214927035,278,Base
2024-01,T018,Deportes,352679730,885,Base
2024-01,T018,Electrohogar,343650213,761,Base
2024-01,T018,Jugueteria,418536487,1278,Base
