id_transaccion,fecha_venta,id_cliente,id_producto,id_tienda,cantidad,precio_unitario,descuento_pct,metodo_pago,canal_venta,estado_transaccion,moneda,costo_unitario,vendedor_id,origen_dato
V000000023,2026-04-29,C00677,P0396,T041,1,1184996.0,0.2,Tarjeta debito,Call center,Completada,COP,785200,VEN133,ECOM
V000000032,2026-06-10,C00565,P0240,T009,1,674276.0,0.0,Tarjeta debito,Call center,Completada,COP,496400,VEN158,CRM
V000000051,2026-03-25,C02732,P0436,T010,1,1470670.0,0.03,Efectivo,Call center,Completada,COP,914400,VEN024,CRM
V000000055,2026-06-07,C03825,P0262,T046,1,2020052.0,0.15,Billetera digital,App movil,Completada,COP,1437700,VEN085,CRM
V000000066,2026-02-01,C01015,P0012,T022,1,68280.0,0.08,Billetera digital,Marketplace,Completada,COP,45200,VEN101,ECOM
V000000069,2026-06-22,C00890,P0425,T044,2,50598.0,0.1,Efectivo,Web,Completada,COP,37200,VEN046,ECOM
V000000080,2026-01-09,C03370,P0040,T005,2,239132.0,0.05,Transferencia,Call center,Completada,COP,138700,VEN145,CRM
V000000083,2026-03-21,C01372,P0231,T045,4,504893.0,0.08,Tarjeta debito,Call center,Completada,COP,338200,VEN031,ECOM
V000000085,2026-06-05,C00537,P0180,T031,2,1376933.0,0.15,Tarjeta debito,Tienda fisica,Completada,COP,969000,VEN046,ECOM
V000000106,2026-05-15,C00769,P0284,T031,1,637317.0,0.0,Efectivo,Marketplace,Completada,COP,486700,VEN094,CRM
V000000120,2026-03-14,C03608,P0220,T026,1,2200416.0,0.15,Tarjeta debito,Marketplace,Completada,COP,1248600,VEN168,POS
V000000124,2026-06-14,C00822,P0312,T003,1,663135.0,0.0,Transferencia,Marketplace,Completada,COP,448600,VEN053,ECOM
V000000133,2026-04-03,C00126,P0405,T016,1,2335856.0,0.03,Tarjeta debito,Call center,Completada,COP,1278700,VEN075,POS
V000000140,2026-05-11,C00541,P0371,T001,1,652330.0,0.0,Tarjeta credito,Call center,Completada,COP,504600,VEN143,POS
V000000148,2026-04-29,C03795,P0355,T023,1,25433.0,0.1,Transferencia,App movil,Completada,COP,17700,VEN104,POS
V000000154,2026-03-09,C03529,P0170,T029,1,1360803.0,0.03,Tarjeta credito,Marketplace,Completada,COP,1004800,VEN177,POS
V000000165,2026-03-28,C04790,P0307,T011,3,919785.0,0.0,Efectivo,Marketplace,Completada,COP,765500,VEN071,POS
V000000167,2026-02-22,C01767,P0477,T014,1,1139644.0,0.0,Billetera digital,Tienda fisica,Completada,COP,793300,VEN114,POS
V000000172,2026-05-21,C01973,P0240,T038,1,730901.0,0.03,Efectivo,Tienda fisica,Completada,COP,496400,VEN065,ECOM
V000000176,2026-06-15,C03942,P0460,T031,3,584737.0,0.08,Tarjeta credito,Marketplace,Completada,COP,477400,VEN131,CRM
V000000190,2026-04-17,C02695,P0277,T008,1,1163544.0,0.0,Tarjeta debito,App movil,Completada,COP,826400,VEN039,ECOM
V000000202,2026-04-20,C02980,P0409,T028,1,1781924.0,0.0,Tarjeta debito,Tienda fisica,Completada,COP,1381400,VEN104,ECOM
V000000236,2026-05-20,C03032,P0456,T030,1,2432036.0,0.0,Efectivo,Marketplace,Completada,COP,1795200,VEN160,CRM
V000000237,2026-05-28,C00910,P0326,T049,1,1679960.0,0.03,Billetera digital,Tienda fisica,Completada,COP,1003800,VEN057,POS
V000000248,2026-03-30,C00841,P0009,T053,3,889858.0,0.15,Billetera digital,App movil,Completada,COP,646900,VEN074,ECOM
V000000250,2026-01-30,C01560,P0447,T054,1,924052.0,0.05,Efectivo,Tienda fisica,Completada,COP,658900,VEN037,ECOM
V000000251,2026-03-11,C01227,P0483,T060,1,403362.0,0.03,Transferencia,Marketplace,Completada,COP,246200,VEN140,POS
V000000268,2026-06-06,C00446,P0423,T015,1,582972.0,0.05,Billetera digital,Marketplace,Completada,COP,349500,VEN028,ECOM
V000000272,2026-05-27,C02510,P0137,T055,2,2098859.0,0.15,Billetera digital,Tienda fisica,Completada,COP,1293400,VEN085,POS
V000000282,2026-02-16,C02425,P0320,T017,1,810461.0,0.15,Tarjeta debito,App movil,Completada,COP,598800,VEN111,POS
V000000288,2026-01-12,C00870,P0324,T019,1,2253233.0,0.0,Billetera digital,App movil,Completada,COP,1581400,VEN063,CRM
V000000309,2026-04-22,C01958,P0470,T019,1,1985525.0,0.0,Billetera digital,App movil,Completada,COP,1138100,VEN023,CRM
V000000320,2026-01-15,C00879,P0043,T034,1,1723931.0,0.15,Tarjeta credito,Call center,Completada,COP,1043000,VEN046,POS
V000000335,2026-01-21,C00326,P0352,T028,1,1771617.0,0.05,Tarjeta credito,App movil,Completada,COP,1364400,VEN116,ECOM
V000000339,2026-01-03,C00228,P0099,T023,2,2224998.0,0.0,Tarjeta debito,Tienda fisica,Completada,COP,1367700,VEN154,ECOM
V000000340,2026-04-01,C02065,P0219,T041,2,2565475.0,0.15,Efectivo,Call center,Completada,COP,1889300,VEN002,CRM
V000000345,2026-05-04,C02509,P0450,T046,1,1887591.0,0.05,Transferencia,App movil,Completada,COP,1462700,VEN061,POS
V000000349,2026-05-30,C00971,P0236,T040,1,1706805.0,0.0,Tarjeta debito,Call center,Completada,COP,851900,VEN124,POS
V000000392,2026-06-16,C02878,P0035,T051,8,745098.0,0.03,Efectivo,Marketplace,Completada,COP,400200,VEN135,CRM
V000000411,2026-05-08,C03425,P0108,T050,1,2502113.0,0.15,Efectivo,Call center,Completada,COP,1625600,VEN172,POS
